"Id ","x0 (LU) ","y0 (LU) ","z0 (LU) ","vx0 (LU/TU) ","vy0 (LU/TU) ","vz0 (LU/TU) ","Jacobi constant (LU2/TU2) ","Period (TU) ","Period (days) ","Stability index  ","Mass ratio"
"1027","2.0939964397287392E-1","-5.8806025795356964E-22","-5.3088427622334309E-22","-2.6798968935474445E-12","2.5985511976729931E+0","-4.0601022257322840E-23","2.2402085661276798E+0","6.2663535028310315E+0","2.7776575725145808E+1","1.0002245961928700E+0","1.215058560962404E-2"
"1026","2.0931035891162772E-1","-6.3042575432292548E-22","-1.6860857295694773E-21","-2.6738660214934181E-12","2.5992760234682408E+0","6.0345741757226283E-22","2.2399953413052400E+0","6.2663845256981165E+0","2.7776713238775770E+1","1.0002247060848199E+0","1.215058560962404E-2"
"1025","2.0913187124208643E-1","-6.0660479642024562E-22","5.9198394727903877E-22","-2.7092311970335983E-12","2.6007261187529394E+0","-7.8722357812827717E-23","2.2395688966980298E+0","6.2664464926691172E+0","2.7776987916905831E+1","1.0002249243487700E+0","1.215058560962404E-2"
"1024","2.0895349354490875E-1","-5.8454445898109284E-22","4.3973937264524856E-23","-2.9150096260543139E-12","2.6021768055289032E+0","1.3103544265379108E-22","2.2391424590583102E+0","6.2665083547743832E+0","2.7777262130202391E+1","1.0002251405939100E+0","1.215058560962404E-2"
"1023","2.0877522586207173E-1","-6.0604154647288509E-22","9.9081576889571678E-22","-2.7430063305554003E-12","2.6036280836740242E+0","-4.6016058317940908E-22","2.2387160286867500E+0","6.2665701121957653E+0","2.7777535879471536E+1","1.0002253548295601E+0","1.215058560962404E-2"
"1022","2.0859706823539587E-1","-6.0729595158760877E-22","-2.3449876080459335E-22","-3.0567056998971155E-12","2.6050799530651716E+0","-1.6451731719535124E-22","2.2382896058839501E+0","6.2666317651148526E+0","2.7777809165518189E+1","1.0002255670648399E+0","1.215058560962404E-2"
"1021","2.0841902070654073E-1","-5.2804810145771167E-22","1.2857915395592205E-21","-2.8892214838901722E-12","2.6065324135781536E+0","-2.1849642372877250E-22","2.2378631909507400E+0","6.2666933137128682E+0","2.7778081989145647E+1","1.0002257773090399E+0","1.215058560962404E-2"
"1020","2.0824108331700816E-1","-6.0609349657706810E-22","2.2111826819778104E-22","-2.9686942992879736E-12","2.6079854650877392E+0","1.6378884558922906E-22","2.2374367841879601E+0","6.2667547581707490E+0","2.7778354351155933E+1","1.0002259855712801E+0","1.215058560962404E-2"
"1019","2.0806325610814363E-1","-7.0587379100441866E-22","3.2358187564377882E-22","-2.7813163247179585E-12","2.6094391074676659E+0","8.9631222264769582E-23","2.2370103858963502E+0","6.2668160986690795E+0","2.7778626252349529E+1","1.0002261918607100E+0","1.215058560962404E-2"
"1018","2.0788553912113125E-1","-7.0016598443653198E-22","1.5706386421020728E-22","-2.8768410458310520E-12","2.6108933405906241E+0","-3.6620118719339708E-22","2.2365839963768099E+0","6.2668773353881599E+0","2.7778897693525636E+1","1.0002263961864100E+0","1.215058560962404E-2"
