Id ,x0 (LU) ,y0 (LU) ,z0 (LU) ,vx0 (LU/TU) ,vy0 (LU/TU) ,vz0 (LU/TU) ,Jacobi constant (LU2/TU2) ,Period (TU) ,Period (days) ,Stability index  ,Mass ratio
1113,8.6221899389004331E-1,-6.16E-28,-9.10E-14,1.1168790093094281E-13,8.8612113504271353E-2,-4.39E-01,2.9961759398376699E+0,4.0188102048786885E+0,1.7813994363766689E+1,2.6373400039963502E+2,1.215058560962404E-2
1112,8.6226928291315630E-1,1.9018646480449701E-30,-9.72E-14,1.1971688106442623E-13,8.9023980915270848E-2,-4.40E-01,2.9953172240925099E+0,4.0278666165523660E+0,1.7854138301471185E+1,2.6181745868773601E+2,1.215058560962404E-2
1111,8.6236746386331531E-1,-8.65E-28,-8.09E-14,9.7948255521145237E-14,8.9836249482258518E-2,-4.41E-01,2.9936014234649502E+0,4.0460237654863960E+0,1.7934622656860800E+1,2.5806720524098199E+2,1.215058560962404E-2
1110,8.6246250492179677E-1,8.5098352082780729E-28,-8.00E-14,9.5969773552360333E-14,9.0632798466903142E-2,-4.43E-01,2.9918876026340300E+0,4.0642373445927324E+0,1.8015357147668656E+1,2.5442545589254800E+2,1.215058560962404E-2
1109,8.6255447583642642E-1,-2.88E-28,-8.31E-14,1.0148037953709364E-13,9.1413113600683965E-2,-4.45E-01,2.9901755218815702E+0,4.0825041157806830E+0,1.8096327420559707E+1,2.5088992496638201E+2,1.215058560962404E-2
1108,8.6264344885249877E-1,6.8899053254344105E-30,-7.97E-14,9.8107088630204788E-14,9.2176684443088949E-2,-4.47E-01,2.9884649349070900E+0,4.1008208018219818E+0,1.8177518948715594E+1,2.4745837004792401E+2,1.215058560962404E-2
1107,8.6272949859030523E-1,6.7702446076944855E-28,-1.22E-13,1.4801132317328779E-13,9.2923004672756285E-2,-4.49E-01,2.9867555892511102E+0,4.1191840852093069E+0,1.8258917026774853E+1,2.4412859241472000E+2,1.215058560962404E-2
1106,8.6281270193983872E-1,-1.65E-28,-5.58E-14,6.7188561426216791E-14,9.3651572296149010E-2,-4.51E-01,2.9850472267174299E+0,4.1375906070136370E+0,1.8340506765767962E+1,2.4089843728084901E+2,1.215058560962404E-2
1105,8.6289313794839195E-1,-2.10E-28,-3.90E-14,4.6499625636362444E-14,9.4361889907166610E-2,-4.52E-01,2.9833395837944701E+0,4.1560369657583625E+0,1.8422273088126666E+1,2.3776579390262501E+2,1.215058560962404E-2
1104,8.6297088770912578E-1,-2.87E-28,-6.17E-14,7.4245024658039140E-14,9.5053464953849975E-2,-4.54E-01,2.9816323920762300E+0,4.1745197163289065E+0,1.8504200722850712E+1,2.3472859549244899E+2,1.215058560962404E-2
1103,8.6304603424985005E-1,-2.11E-28,-2.69E-13,3.2195321528335744E-13,9.5725810018295651E-2,-4.56E-01,2.9799253786829900E+0,4.1930353689372728E+0,1.8586274200918048E+1,2.3178481901532700E+2,1.215058560962404E-2
1102,8.6311866242158053E-1,-3.60E-28,-2.35E-13,2.8503403918463203E-13,9.6378443111644771E-2,-4.58E-01,2.9782182666822101E+0,4.2115803881616403E+0,1.8668477851027671E+1,2.2893248481761100E+2,1.215058560962404E-2
1101,8.6318885878612284E-1,-2.47E-28,-1.86E-13,2.2183620601797687E-13,9.7010887990265179E-2,-4.60E-01,2.9765107755098001E+0,4.2301511920815420E+0,1.8750795795766177E+1,2.2616965619563899E+2,1.215058560962404E-2
