"Id ","x0 (LU) ","y0 (LU) ","z0 (LU) ","vx0 (LU/TU) ","vy0 (LU/TU) ","vz0 (LU/TU) ","Jacobi constant (LU2/TU2) ","Period (TU) ","Period (days) ","Stability index  ","Mass ratio"
"1043","3.2291569899472776E+0","-1.6689726862054606E-21","-9.3835305922327628E-34","-5.7290345060782335E-14","-2.8648605374889877E+0","-6.9340575045083580E-35","2.8404089708724198E+0","1.7070533168668653E+1","7.5667763877974679E+1","2.3627666803160299E+0","1.215058560962404E-2"
"1042","3.2291698030083449E+0","-1.6689725769757044E-21","-2.3733759915559855E-33","-5.7680148871476943E-14","-2.8648745552751049E+0","-5.1925038490475980E-34","2.8404089320986801E+0","1.7070790303369641E+1","7.5668903667086539E+1","2.3614854494441300E+0","1.215058560962404E-2"
"1041","3.2290181394184865E+0","-1.6689727851642679E-21","3.2945469967900862E-34","-5.8340510863341394E-14","-2.8647090965689581E+0","9.9439842581857516E-35","2.8404067252499501E+0","1.7067707258181880E+1","7.5655237595090568E+1","2.5827542412305000E+0","1.215058560962404E-2"
"1040","3.2294192900665886E+0","-1.6689742991161239E-21","1.3453679781954933E-33","-6.5573825410040133E-14","-2.8651488441626478E+0","-1.0654974669440920E-34","2.8404004651867800E+0","1.7075683096339343E+1","7.5690591724482118E+1","2.3372976432407002E+0","1.215058560962404E-2"
"1039","3.2295414797511874E+0","-1.6689724120911346E-21","7.7352230261509807E-34","-6.4149107236582086E-14","-2.8652840543244147E+0","-2.3311963155126048E-34","2.8403913063287001E+0","1.7078005426608691E+1","7.5700885810597143E+1","3.3358924504446801E+0","1.215058560962404E-2"
"1038","3.2286704074067583E+0","-1.6689779363236733E-21","-2.4509674349178876E-33","-5.7925043528378102E-14","-2.8643339515917159E+0","-2.0606324134418542E-34","2.8403774892463400E+0","1.7060280393938648E+1","7.5622316877011173E+1","7.0174477835676301E+0","1.215058560962404E-2"
"1037","3.2298079226847349E+0","-1.6689751145103844E-21","-5.2897539660590643E-34","-6.4168497597142366E-14","-2.8655806836416295E+0","-2.3702006874408268E-34","2.8403610341162202E+0","1.7082917662762405E+1","7.5722660052896401E+1","6.0643267262354597E+0","1.215058560962404E-2"
"1036","3.2284569046360065E+0","-1.6689775305992154E-21","3.3053108516237721E-33","-6.1410516838872234E-14","-2.8641069901378580E+0","2.6954673211530464E-34","2.8403402078718498E+0","1.7055433548002025E+1","7.5600832486906810E+1","9.9863088446821706E+0","1.215058560962404E-2"
"1035","3.2300858976282134E+0","-1.6689725991211957E-21","7.3838677646901990E-34","-5.9954811722395409E-14","-2.8658925217758999E+0","1.0075198815096289E-34","2.8403158385069198E+0","1.7087842341832665E+1","7.5744489450337085E+1","8.7380667854591998E+0","1.215058560962404E-2"
"1034","3.2282546447377882E+0","-1.6689779238297403E-21","-2.1922102715751931E-33","-6.5358868347406682E-14","-2.8638947922821054E+0","-3.4723809249702667E-34","2.8402887772771801E+0","1.7050602415377607E+1","7.5579417748475635E+1","1.3003998134970400E+1","1.215058560962404E-2"
"1033","3.2281526763414004E+0","-1.6689818306223218E-21","-2.1025773579570551E-33","-6.0379875516929843E-14","-2.8637889938956795E+0","-1.2355327247905358E-34","2.8402560879215502E+0","1.7048066206054930E+1","7.5568175610560118E+1","1.4611469692375101E+1","1.215058560962404E-2"
